Ido_mp,UA_X,UA_Y,UA_Z,FA_X,FA_Y,FA_Z,H_X,H_Y,H_Z
5.0101151,5.20560510784775,3.74102019063165,5.21050676299139,18.2123418308042,-1.28311280485988,-45.9278140527573,-18.273988799478,-8.66063246491094,-7.01874209883111
5.0723565,5.17720268505483,3.71212394248838,5.22101726726227,18.2321452437874,-1.26151593238657,-45.9559282616225,-18.290945978405,-8.66254305663055,-6.98266073203391
5.1084674,5.17456289151623,3.69506128780109,5.20939428496194,18.3091894025253,-1.20011482534043,-46.0300280481184,-18.3310790888036,-8.68347828380469,-6.86728320542546
5.1515942,5.15877108696449,3.72819677845744,5.16126134437135,18.2382855371701,-1.18455555070244,-46.0232377286101,-18.2974324737203,-8.70100564558759,-6.90157061804914
5.1864699,5.16428689924778,3.69033355872347,5.22158266163779,18.2422518511979,-1.20806143606018,-46.0282707553241,-18.3065572491069,-8.67369227781404,-6.92049094633373
5.2306779,5.160887952189,3.62981270741224,5.26143466139365,18.25804674925,-1.17294830704648,-46.0417978732313,-18.3293344006368,-8.66170174789548,-6.90814069154131
5.2764273,5.17153635174476,3.59196746617495,5.30564973976284,18.2890882331095,-1.22015608797988,-46.0604547463185,-18.3519189077686,-8.64190829409341,-6.88617772853824
5.3248907,5.18194917808159,3.52493984141003,5.34219315851039,18.286276839307,-1.23876578139425,-46.065851116839,-18.3582098378825,-8.60237563396976,-6.89433856670058
5.3732497,5.19144352049263,3.48090468134322,5.37949002149852,18.262926281025,-1.27531679326462,-46.0734089152859,-18.336395253602,-8.58300886643366,-6.89844254937171
5.4204108,5.20945408468745,3.44708427635615,5.40126713662019,18.2187792698544,-1.29394898535358,-46.0652256378397,-18.3696382690697,-8.55905480147888,-6.91696259533311
5.4519712,5.19081897768968,3.39063665532673,5.44658793432579,18.1966437133774,-1.26282326787212,-46.0762380131551,-18.3594489088427,-8.58678258202086,-6.90512816471207
5.4836857,5.1862452142689,3.3967159635211,5.44541605782678,18.1909736812758,-1.26004511221306,-46.061793226962,-18.3469604148958,-8.58218066058758,-6.90782179622605
5.514894,5.17867049467526,3.35590848640007,5.47244321553268,18.1799976954821,-1.23200317519838,-46.0220360122311,-18.3455685997028,-8.60963233782457,-6.94810397463589
5.5499902,5.18412090211919,3.31292876971096,5.53008285751858,18.1703746703438,-1.21790922829134,-45.9925677177541,-18.3371994207667,-8.63260676847684,-6.97338640822483
5.5932301,5.20641230431262,3.24985878107831,5.61922939339853,18.1948076682317,-1.2017278894892,-45.9728153284323,-18.3686919258703,-8.65956996532211,-6.97337025384433
